MsgID.STATE,0.0000000,False,False,1
MsgID.LOCAL_VELOCITY,108.0660000,0.0000028,0.0000569,0.0000121
MsgID.GLOBAL_POSITION,0.0000000,-122.3990956,37.7929589,0.1540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,108.3160000,53.1613235,-145.9813690,-0.1548132
MsgID.LOCAL_VELOCITY,108.3160000,-0.0000014,0.0000518,0.0000172
MsgID.GLOBAL_POSITION,0.0000000,-122.3990938,37.7929578,0.1490000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,108.5660000,53.0379143,-145.8288269,-0.1495673
MsgID.LOCAL_VELOCITY,108.5660000,-0.0000232,-0.0000190,0.0000210
MsgID.GLOBAL_POSITION,0.0000000,-122.3990967,37.7929600,0.1370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,108.8160000,53.2882576,-146.0849915,-0.1372460
MsgID.LOCAL_VELOCITY,108.8160000,0.0000041,0.0000553,0.0000127
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990958,37.7929593,0.1220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,109.0660000,53.2056961,-146.0005951,-0.1226740
MsgID.LOCAL_VELOCITY,109.0660000,-0.0000053,0.0000465,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3990954,37.7929583,0.1080000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,109.3170000,53.0966530,-145.9649658,-0.1081495
MsgID.LOCAL_VELOCITY,109.3170000,0.0000216,0.0000387,0.0000095
MsgID.GLOBAL_POSITION,0.0000000,-122.3990955,37.7929588,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,109.5670000,53.1529045,-145.9770508,-0.0963180
MsgID.LOCAL_VELOCITY,109.5670000,-0.0001984,-0.0000739,0.0000337
MsgID.GLOBAL_POSITION,0.0000000,-122.3990942,37.7929583,0.0880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,109.8170000,53.1013565,-145.8607635,-0.0883145
MsgID.LOCAL_VELOCITY,109.8170000,0.0000008,0.0000545,0.0000174
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990943,37.7929571,0.0840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,110.0670000,52.9660416,-145.8698578,-0.0840846
MsgID.LOCAL_VELOCITY,110.0670000,-0.0000029,0.0000504,0.0000180
MsgID.GLOBAL_POSITION,0.0000000,-122.3990956,37.7929578,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,110.3170000,53.0389214,-145.9844208,-0.0826701
MsgID.LOCAL_VELOCITY,110.3170000,-0.0000072,0.0000399,0.0000154
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929587,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,110.5670000,53.1450958,-145.9477539,-0.0824148
MsgID.LOCAL_VELOCITY,110.5670000,0.0000303,0.0000098,0.0000292
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929588,0.0800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,110.8180000,53.1509743,-145.9470978,-0.0803386
MsgID.LOCAL_VELOCITY,110.8180000,-0.0000049,0.0000461,0.0000169
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990941,37.7929591,0.0720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,111.0680000,53.1845474,-145.8481140,-0.0727334
MsgID.LOCAL_VELOCITY,111.0680000,-0.0000000,0.0000537,0.0000132
MsgID.GLOBAL_POSITION,0.0000000,-122.3990939,37.7929601,0.0560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,111.3180000,53.3032265,-145.8328094,-0.0567954
MsgID.LOCAL_VELOCITY,111.3180000,0.0000101,0.0000561,0.0000124
MsgID.GLOBAL_POSITION,0.0000000,-122.3990950,37.7929589,0.0330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,111.5680000,53.1664619,-145.9317017,-0.0336166
MsgID.LOCAL_VELOCITY,111.5680000,0.0000269,0.0000126,0.0000299
MsgID.GLOBAL_POSITION,0.0000000,-122.3990943,37.7929581,0.0050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,111.8180000,53.0703125,-145.8724670,-0.0057732
MsgID.LOCAL_VELOCITY,111.8180000,-0.0000196,0.0000400,0.0000169
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990955,37.7929587,-0.0210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,112.0680000,53.1423073,-145.9796906,0.0213475
MsgID.LOCAL_VELOCITY,112.0680000,0.0002168,0.0001240,-0.0000101
MsgID.GLOBAL_POSITION,0.0000000,-122.3990971,37.7929588,-0.0410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,112.3180000,53.1511116,-146.1214752,0.0419275
MsgID.LOCAL_VELOCITY,112.3180000,-0.0000073,0.0000116,0.0000104
MsgID.GLOBAL_POSITION,0.0000000,-122.3990966,37.7929588,-0.0510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,112.5690000,53.1509743,-146.0763855,0.0510449
MsgID.LOCAL_VELOCITY,112.5690000,-0.0000066,0.0000106,-0.0001318
MsgID.GLOBAL_POSITION,0.0000000,-122.3990953,37.7929585,-0.0450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
